0, 46.22
1.0, 46.22
2.0, 46.22
2.9, 48.22
3.9, 51.05
4.9, 51.05
5.9, 52.66
6.8, 60.85
7.8, 73.74
8.8, 73.74
9.8, 73.74
10.7, 74.50
11.7, 79.53
12.7, 83.34
13.7, 84.08
14.6, 84.08
15.6, 86.14
16.6, 88.01
17.6, 88.30
18.6, 88.30
19.5, 89.23
20.5, 89.61
21.5, 89.61
22.5, 89.23
23.4, 92.57
24.4, 93.13
25.4, 95.93
26.4, 95.93
27.3, 95.93
28.3, 99.99
29.3, 100.71
30.3, 101.38
31.2, 102.78
32.2, 105.67
33.2, 108.71
34.2, 106.90
35.2, 108.90
36.1, 109.54
37.1, 109.93
38.1, 109.93
39.1, 109.93
40.0, 110.64
41.0, 114.73
42.0, 116.43
43.0, 118.98
43.9, 118.98
44.9, 120.18
45.9, 122.33
46.9, 123.53
47.9, 123.53
48.8, 123.53
49.8, 122.33
50.8, 123.53
51.8, 123.56
52.7, 125.09
53.7, 125.09
54.7, 125.58
55.7, 125.58
56.6, 125.58
57.6, 125.55
58.6, 125.55
59.6, 125.55
60.5, 125.55
61.5, 125.09
62.5, 125.09
63.5, 125.09
64.5, 125.09
