0, 53.66
1, 54.08
2.0, 58.47
2.9, 56.89
3.9, 58.47
4.9, 59.96
5.9, 59.96
6.8, 64.75
7.8, 64.75
8.8, 64.75
9.8, 64.75
10.7, 65.36
11.7, 67.35
12.7, 67.59
13.7, 74.75
14.6, 71.47
15.6, 74.75
16.6, 74.75
17.6, 74.75
18.6, 71.47
19.5, 73.64
20.5, 74.75
21.5, 74.75
22.5, 73.64
23.4, 76.75
24.4, 76.75
25.4, 80.12
26.4, 76.89
27.3, 76.89
28.3, 85.91
29.3, 85.91
30.3, 83.81
31.2, 85.91
32.2, 86.75
33.2, 86.92
34.2, 87.11
35.2, 87.11
36.1, 87.11
37.1, 90.60
38.1, 90.70
39.1, 90.70
40.0, 92.35
41.0, 93.97
42.0, 93.85
43.0, 93.97
43.9, 97.21
44.9, 97.61
45.9, 97.21
46.9, 97.61
47.9, 99.74
48.8, 99.74
49.8, 99.75
50.8, 102.07
51.8, 102.47
52.7, 102.47
53.7, 102.47
54.7, 103.04
55.7, 104.70
56.6, 104.10
57.6, 104.10
58.6, 104.45
59.6, 105.16
60.5, 105.16
61.5, 105.52
62.5, 105.52
63.5, 106.2
64.0, 106.3
